[1011/235400.864:ERROR:viz_main_impl.cc(162)] Exiting GPU process due to errors during initialization
[1011/235401.068:ERROR:viz_main_impl.cc(162)] Exiting GPU process due to errors during initialization
[1011/235401.344:ERROR:gpu_init.cc(441)] Passthrough is not supported, GL is disabled
[1011/235411.001:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.018:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.035:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.053:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.071:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.086:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.103:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.121:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.138:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.154:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.172:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.189:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.206:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.223:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.240:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.257:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.293:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.309:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.325:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.341:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.364:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.376:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.394:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.409:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.428:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.461:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.507:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.512:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.528:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
